wallet_address,timestamp,transaction_hash,from_address,to_address,value_eth,gas_price,gas_used,is_error,transaction_type
0x58b6a8a3302369daec383334672404ee733ab239,2018-04-30 20:03:51,0x68d2000f5c5bc57d6871179b94e94b1616e14a5b17d5c0f655e3b479e447581c,0xb5af4138f0f33be0d6414eb25271b9c2dc245fb5,,0.0,6.0,1096965.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-04-30 20:58:06,0xf8d116284088ac1ced6a6339ee17792011495d3a8e3858be9dfd96c20ef31d94,0xb5af4138f0f33be0d6414eb25271b9c2dc245fb5,0x58b6a8a3302369daec383334672404ee733ab239,0.0,5.0,30798.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 13:38:51,0xf8fad89c044d2bfd782ea76c21ae21a4f827e1d1c17efe331ed25c46b4e15c19,0x85a48e017c2f09037046656f2dbb063c3c1d3ce2,0x58b6a8a3302369daec383334672404ee733ab239,0.0,41.0,37349.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 14:56:39,0x750b9d6a026320c383ed40acf07dc05ac6793a8ec00a6095738f53510150bf97,0x907d3231dfd3b45c1075b87ff92335325fed3632,0x58b6a8a3302369daec383334672404ee733ab239,0.0,3.4,52093.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 14:59:03,0xefc20e17980299831165b78664ebaaed59a7ae242f5d319f372e2cfd28aca239,0x907d3231dfd3b45c1075b87ff92335325fed3632,0x58b6a8a3302369daec383334672404ee733ab239,0.0,3.4,37157.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 15:10:57,0x2e3f349241ed9d3ad865b9806c0296868ff6a5a8b868b43914601a2fcea4d0fd,0xfb9849b0b53f66b747bfa47396964a3fa22400a0,0x58b6a8a3302369daec383334672404ee733ab239,0.0,4.0,45633.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 15:17:10,0x80993bf30caa61d010004d2f162d56ca9370f332fa1f1db666db7e3b34c6983e,0xfb9849b0b53f66b747bfa47396964a3fa22400a0,0x58b6a8a3302369daec383334672404ee733ab239,0.0,4.0,30633.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 17:47:19,0xe7531c7410fbac86c763b2154ae79842b851146abb6f47b557d78da18282a703,0x32b1c4719496f425726e161e1e33480b68dc79e7,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.0,52285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 18:01:22,0xd6e448e0f20aac78a52731d2fc11b45d9f6833188612c919e846c16fb1b67954,0x4f4758f7167b18e1f5b3c1a7575e3eb584894dbc,0x58b6a8a3302369daec383334672404ee733ab239,0.0,4.0,45697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 18:07:57,0xb3c2e5a04dc012e79e735896c7c30c5b779d760268662207ce2f1e7581198bb2,0x4f4758f7167b18e1f5b3c1a7575e3eb584894dbc,0x58b6a8a3302369daec383334672404ee733ab239,0.0,4.0,30697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 18:13:42,0x8fe944c4b0c8cfb47ab9ed1409426331dcc6131d11b1ea711bf131c65c591dbb,0x351a7dffbe4b4eba06a0b583c970c4f83e89835c,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.0,45569.0,False,incoming
